lat,lng,act302,act363,act323,act379
23.2375,77.4199,0,0,2,5
23.2380,77.4205,0,0,1,4
23.2390,77.4180,0,0,2,3
23.2469,77.4686,0,0,3,6
23.2475,77.4690,0,0,2,5
23.2455,77.4670,0,0,1,4
23.2520,77.4015,0,1,2,3
23.2530,77.4020,0,0,1,4
23.2400,77.3900,0,0,1,3
23.2390,77.3890,0,0,1,2
23.2144,77.4353,0,0,2,5
23.2150,77.4360,0,0,1,4
23.2094,77.4478,0,0,3,7
23.2090,77.4485,0,0,2,6
23.2100,77.4470,0,0,2,4
23.2653,77.3756,0,0,2,5
23.2650,77.3760,0,0,3,6
23.2660,77.3745,0,0,1,3
23.2153,77.4800,0,0,2,5
23.2150,77.4805,0,0,1,4
23.2160,77.4790,0,0,1,3
23.2450,77.4600,0,0,2,5
23.2455,77.4595,0,0,1,4
23.1987,77.4171,0,0,2,4
23.1990,77.4165,0,0,1,5
23.1674,77.3727,0,1,1,2
23.2499,77.4680,0,0,2,5
23.2500,77.4675,0,0,1,3
23.2650,77.3980,0,0,2,4
23.2645,77.3975,0,0,1,3
23.2532,77.4013,0,0,2,4
23.2540,77.4020,0,0,1,3
23.2304,77.4368,0,0,3,7
23.2310,77.4370,0,0,2,5
23.2333,77.3960,0,0,2,6
23.2330,77.3965,0,1,2,4
23.2340,77.3955,0,0,1,3
23.2324,77.4680,0,0,2,5
23.2315,77.4685,0,0,3,6
23.2330,77.4670,0,0,1,4
23.2409,77.3976,0,0,2,5
23.2415,77.3980,0,0,1,6
23.2223,77.4286,0,0,3,5
23.2230,77.4290,0,0,2,4
23.2187,77.4421,0,0,2,6
23.2193,77.4425,0,0,1,5
23.2115,77.4708,0,0,3,7
23.2120,77.4712,0,0,2,5
23.2297,77.4093,0,0,1,4
23.2302,77.4098,0,0,2,3
23.2432,77.3815,0,0,1,3
23.2438,77.3820,0,0,2,4
23.2564,77.3832,0,0,2,5
23.2570,77.3837,0,0,1,4
23.2245,77.4124,0,0,3,6
23.2250,77.4129,0,0,2,7
23.2361,77.4628,0,0,2,5
23.2367,77.4633,0,0,1,6
23.2486,77.4105,0,0,3,5
23.2491,77.4110,0,0,2,4
23.2157,77.4545,0,1,1,4
23.2162,77.4550,0,0,2,5
23.2078,77.4334,0,0,3,6
23.2083,77.4339,0,0,2,7
23.2378,77.4221,0,0,1,4
23.2383,77.4226,0,0,2,5
23.2603,77.3905,0,0,2,3
23.2609,77.3910,0,0,1,4
23.2267,77.4346,0,0,3,5
23.2272,77.4351,0,0,2,4
23.2440,77.4521,0,0,2,6
23.2445,77.4526,0,0,1,5
23.2209,77.4636,0,0,3,7
23.2214,77.4641,0,0,2,5
23.2130,77.4011,0,0,2,4
23.2135,77.4016,0,0,1,3
23.2590,77.3765,0,1,1,4
23.2596,77.3770,0,0,2,5
23.2423,77.4088,0,0,2,5
23.2429,77.4093,0,0,1,4
23.2280,77.4470,0,0,3,6
23.2285,77.4475,0,0,2,5
23.2512,77.4158,0,0,1,3
23.2518,77.4163,0,0,2,4
23.2239,77.3953,0,0,2,4
23.2244,77.3958,0,0,1,3
23.2356,77.4509,0,0,3,5
23.2361,77.4514,0,0,2,6
23.2174,77.4825,0,0,2,7
23.2179,77.4830,0,0,1,5
23.2545,77.3928,0,0,1,4
23.2550,77.3933,0,0,2,3
23.2668,77.3697,0,0,2,5
23.2673,77.3702,0,0,3,6
23.2118,77.4226,0,0,2,5
23.2123,77.4231,0,0,1,4
23.2412,77.4725,0,1,2,6
23.2418,77.4730,0,0,3,5
23.2582,77.4056,0,0,2,4
23.2588,77.4061,0,0,1,3
23.2295,77.3842,0,0,1,3
23.2300,77.3847,0,0,2,4
23.2701,77.3625,0,0,2,5
23.2707,77.3630,0,0,1,6
23.2199,77.4398,0,0,3,6
23.2204,77.4403,0,0,2,4
23.2338,77.4595,0,0,2,5
23.2343,77.4600,0,0,1,4
23.2210,77.4493,0,0,2,6
23.2215,77.4498,0,0,1,5
23.2045,77.4432,0,0,3,5
23.2050,77.4437,0,0,2,7
23.2479,77.4265,0,0,2,4
23.2484,77.4270,0,0,1,5
23.2620,77.3837,0,0,2,3
23.2626,77.3842,0,0,1,4
23.2256,77.4215,0,0,3,5
23.2261,77.4220,0,0,2,4
23.2309,77.4771,0,0,2,6
23.2314,77.4776,0,0,1,5
23.2180,77.4103,0,1,2,4
23.2185,77.4108,0,0,1,3
23.2448,77.3914,0,0,2,5
23.2453,77.3919,0,0,1,4
23.2558,77.3695,0,0,3,6
23.2563,77.3700,0,0,2,5
23.2228,77.4674,0,0,2,5
23.2233,77.4679,0,0,1,4
23.2395,77.4035,0,0,2,6
23.2400,77.4040,0,0,3,5
23.2635,77.3952,0,0,2,4
23.2640,77.3957,0,0,1,3
23.2275,77.4426,0,0,2,5
23.2280,77.4431,0,0,1,4
23.2428,77.3728,0,0,1,3
23.2433,77.3733,0,0,2,4
23.2693,77.3658,0,0,3,7
23.2699,77.3663,0,0,2,5
23.2138,77.4486,0,0,2,5
23.2143,77.4491,0,0,1,4
23.2375,77.4199,0,0,2,5
23.2380,77.4205,0,0,1,4
23.2390,77.4180,0,0,2,3
23.2469,77.4686,0,0,3,6
23.2475,77.4690,0,0,2,5
23.2455,77.4670,0,0,1,4
23.2520,77.4015,0,1,2,3
23.2530,77.4020,0,0,1,4
23.2400,77.3900,0,0,1,3
23.2390,77.3890,0,0,1,2
23.2144,77.4353,0,0,2,5
23.2150,77.4360,0,0,1,4
23.2094,77.4478,0,0,3,7
23.2090,77.4485,0,0,2,6
23.2100,77.4470,0,0,2,4
23.2653,77.3756,0,0,2,5
23.2650,77.3760,0,0,3,6
23.2660,77.3745,0,0,1,3
23.2153,77.4800,0,0,2,5
23.2150,77.4805,0,0,1,4
23.2160,77.4790,0,0,1,3
23.2450,77.4600,0,0,2,5
23.2455,77.4595,0,0,1,4
23.1987,77.4171,0,0,2,4
23.1990,77.4165,0,0,1,5
23.1674,77.3727,0,1,1,2
23.2499,77.4680,0,0,2,5
23.2500,77.4675,0,0,1,3
23.2650,77.3980,0,0,2,4
23.2645,77.3975,0,0,1,3
23.2532,77.4013,0,0,2,4
23.2540,77.4020,0,0,1,3
23.2304,77.4368,0,0,3,7
23.2310,77.4370,0,0,2,5
23.2333,77.3960,0,0,2,6
23.2330,77.3965,0,1,2,4
23.2340,77.3955,0,0,1,3
23.2324,77.4680,0,0,2,5
23.2315,77.4685,0,0,3,6
23.2330,77.4670,0,0,1,4
23.2409,77.3976,0,0,2,5
23.2415,77.3980,0,0,1,6
23.2223,77.4286,0,0,3,5
23.2230,77.4290,0,0,2,4
23.2187,77.4421,0,0,2,6
23.2193,77.4425,0,0,1,5
23.2115,77.4708,0,0,3,7
23.2120,77.4712,0,0,2,5
23.2297,77.4093,0,0,1,4
23.2302,77.4098,0,0,2,3
23.2432,77.3815,0,0,1,3
23.2438,77.3820,0,0,2,4
23.2564,77.3832,0,0,2,5
23.2570,77.3837,0,0,1,4
23.2245,77.4124,0,0,3,6
23.2250,77.4129,0,0,2,7
23.2361,77.4628,0,0,2,5
23.2367,77.4633,0,0,1,6
23.2486,77.4105,0,0,3,5
23.2491,77.4110,0,0,2,4
23.2157,77.4545,0,1,1,4
23.2162,77.4550,0,0,2,5
23.2078,77.4334,0,0,3,6
23.2083,77.4339,0,0,2,7
23.2378,77.4221,0,0,1,4
23.2383,77.4226,0,0,2,5
23.2603,77.3905,0,0,2,3
23.2609,77.3910,0,0,1,4
23.2267,77.4346,0,0,3,5
23.2272,77.4351,0,0,2,4
23.2440,77.4521,0,0,2,6
23.2445,77.4526,0,0,1,5
23.2209,77.4636,0,0,3,7
23.2214,77.4641,0,0,2,5
23.2130,77.4011,0,0,2,4
23.2135,77.4016,0,0,1,3
23.2590,77.3765,0,1,1,4
23.2596,77.3770,0,0,2,5
23.2423,77.4088,0,0,2,5
23.2429,77.4093,0,0,1,4
23.2280,77.4470,0,0,3,6
23.2285,77.4475,0,0,2,5
23.2512,77.4158,0,0,1,3
23.2518,77.4163,0,0,2,4
